method,seed,domain,label_index,label_name,source_only_auroc,candidate_auroc,delta_auroc
topk_labelwise_trust_region_k2,2027,nih,3,edema,0.9023303347553803,0.9005715915437725,-0.0017587432116077384
topk_labelwise_trust_region_k2,2027,nih,4,pleural_effusion,0.8659899876211452,0.8661468022875933,0.00015681466644812403
topk_labelwise_trust_region_k2,2027,nih,5,pneumonia,0.8137677484787018,0.8065234714575485,-0.007244277021153267
topk_labelwise_trust_region_k2,2027,nih,6,pneumothorax,0.8570518350615446,0.8561214766198105,-0.0009303584417340582
topk_labelwise_trust_region_k2,2027,chexpert,0,atelectasis,0.861525974025974,0.8590097402597403,-0.0025162337662336665
topk_labelwise_trust_region_k2,2027,chexpert,1,cardiomegaly,0.739280652019844,0.7345854004252302,-0.004695251594613814
topk_labelwise_trust_region_k2,2027,chexpert,2,consolidation,0.9050203527815468,0.905171114126338,0.00015076134479119485
topk_labelwise_trust_region_k2,2027,chexpert,3,edema,0.861845972957084,0.8617283950617284,-0.00011757789535560281
topk_labelwise_trust_region_k2,2027,chexpert,4,pleural_effusion,0.9043703637501117,0.9212619537045312,0.016891589954419528
topk_labelwise_trust_region_k2,2027,chexpert,5,pneumonia,0.8987831858407079,0.8987831858407079,0.0
topk_labelwise_trust_region_k2,2027,chexpert,6,pneumothorax,0.7793141592920354,0.7815265486725664,0.0022123893805310324
tiny_logit_correction,2027,nih,0,atelectasis,0.797664274658787,0.797664274658787,0.0
tiny_logit_correction,2027,nih,1,cardiomegaly,0.8679439098370982,0.8679439098370982,0.0
tiny_logit_correction,2027,nih,2,consolidation,0.8085547868351461,0.8085547868351461,0.0
tiny_logit_correction,2027,nih,3,edema,0.9023303347553803,0.9023303347553803,0.0
tiny_logit_correction,2027,nih,4,pleural_effusion,0.8659899876211452,0.8659899876211452,0.0
tiny_logit_correction,2027,nih,5,pneumonia,0.8137677484787018,0.8137677484787018,0.0
tiny_logit_correction,2027,nih,6,pneumothorax,0.8570518350615446,0.8570518350615446,0.0
tiny_logit_correction,2027,chexpert,0,atelectasis,0.861525974025974,0.861525974025974,0.0
tiny_logit_correction,2027,chexpert,1,cardiomegaly,0.739280652019844,0.739280652019844,0.0
tiny_logit_correction,2027,chexpert,2,consolidation,0.9050203527815468,0.9050203527815468,0.0
tiny_logit_correction,2027,chexpert,3,edema,0.861845972957084,0.861845972957084,0.0
tiny_logit_correction,2027,chexpert,4,pleural_effusion,0.9043703637501117,0.9043703637501117,0.0
tiny_logit_correction,2027,chexpert,5,pneumonia,0.8987831858407079,0.8987831858407079,0.0
tiny_logit_correction,2027,chexpert,6,pneumothorax,0.7793141592920354,0.7793141592920354,0.0
harder_gate_clipping,31415,nih,0,atelectasis,0.797664274658787,0.7956970917080668,-0.001967182950720181
harder_gate_clipping,31415,nih,1,cardiomegaly,0.8679439098370982,0.8610731556046554,-0.006870754232442877
harder_gate_clipping,31415,nih,2,consolidation,0.8085547868351461,0.805250604732987,-0.0033041821021591034
harder_gate_clipping,31415,nih,3,edema,0.9023303347553803,0.8952121781084004,-0.007118156646979901
