method,seed,domain,metric,label_index,label_name,mean,std,min,max
topk_labelwise_trust_region_k1,31415,chexpert,selection_frequency,2,consolidation,0.004273504484444857,0.06523220241069794,0.0,1.0
topk_labelwise_trust_region_k1,31415,chexpert,selection_frequency,3,edema,0.0,0.0,0.0,0.0
topk_labelwise_trust_region_k1,31415,chexpert,selection_frequency,4,pleural_effusion,0.44017094373703003,0.49640756845474243,0.0,1.0
topk_labelwise_trust_region_k1,31415,chexpert,selection_frequency,5,pneumonia,0.05982905998826027,0.23716984689235687,0.0,1.0
topk_labelwise_trust_region_k1,31415,chexpert,selection_frequency,6,pneumothorax,0.18376068770885468,0.3872888684272766,0.0,1.0
topk_labelwise_trust_region_k2,31415,nih,selection_frequency,0,atelectasis,0.7465000152587891,0.43501463532447815,0.0,1.0
topk_labelwise_trust_region_k2,31415,nih,selection_frequency,1,cardiomegaly,0.26649999618530273,0.44212865829467773,0.0,1.0
topk_labelwise_trust_region_k2,31415,nih,selection_frequency,2,consolidation,0.0754999965429306,0.2641964256763458,0.0,1.0
topk_labelwise_trust_region_k2,31415,nih,selection_frequency,3,edema,0.08900000154972076,0.2847437262535095,0.0,1.0
topk_labelwise_trust_region_k2,31415,nih,selection_frequency,4,pleural_effusion,0.5034999847412109,0.49998772144317627,0.0,1.0
topk_labelwise_trust_region_k2,31415,nih,selection_frequency,5,pneumonia,0.18400000035762787,0.3874841630458832,0.0,1.0
topk_labelwise_trust_region_k2,31415,nih,selection_frequency,6,pneumothorax,0.13500000536441803,0.34172356128692627,0.0,1.0
topk_labelwise_trust_region_k2,31415,chexpert,selection_frequency,0,atelectasis,0.6666666865348816,0.4714045226573944,0.0,1.0
topk_labelwise_trust_region_k2,31415,chexpert,selection_frequency,1,cardiomegaly,0.14957265555858612,0.35665205121040344,0.0,1.0
topk_labelwise_trust_region_k2,31415,chexpert,selection_frequency,2,consolidation,0.03418803587555885,0.18171191215515137,0.0,1.0
topk_labelwise_trust_region_k2,31415,chexpert,selection_frequency,3,edema,0.004273504484444857,0.06523220241069794,0.0,1.0
topk_labelwise_trust_region_k2,31415,chexpert,selection_frequency,4,pleural_effusion,0.7307692170143127,0.44356009364128113,0.0,1.0
topk_labelwise_trust_region_k2,31415,chexpert,selection_frequency,5,pneumonia,0.15811966359615326,0.3648531436920166,0.0,1.0
topk_labelwise_trust_region_k2,31415,chexpert,selection_frequency,6,pneumothorax,0.25641027092933655,0.43665096163749695,0.0,1.0
