relative_path,category,suffix,size_bytes,modified_utc
reports/nih_dev_10k_datacard.json,report_json,.json,1610,2026-04-27T06:15:04.532689+00:00
reports/nih_dev_2k_batch.png,image,.png,80133,2026-04-27T06:15:04.343688+00:00
reports/nih_dev_2k_batch_stats.json,report_json,.json,340,2026-04-27T06:15:04.348688+00:00
reports/nih_dev_2k_datacard.json,report_json,.json,1570,2026-04-27T06:15:04.078686+00:00
reports/nih_subset_check.json,report_json,.json,7572,2026-04-27T06:17:20.484536+00:00
reports/nih_subset_check.md,report_md,.md,7062,2026-04-27T06:17:20.485536+00:00
reports/stage1_repo_check.json,report_json,.json,930,2026-04-27T06:03:47.384478+00:00
reports/stage1_repo_check.md,report_md,.md,1222,2026-04-27T06:03:47.384478+00:00
reports/stage5_data_check.json,report_json,.json,2755,2026-04-27T06:39:10.403661+00:00
reports/stage5_data_check.md,report_md,.md,1872,2026-04-27T06:39:10.403661+00:00
reports/stage5_nih_train_batch.png,image,.png,245164,2026-04-27T06:39:12.212672+00:00
reports/stage5_nih_train_batch_stats.json,report_json,.json,352,2026-04-27T06:39:11.800669+00:00
reports/stage5_source_baseline.json,report_json,.json,2915,2026-04-27T06:39:12.216672+00:00
reports/stage5_source_baseline.md,report_md,.md,2992,2026-04-27T06:39:12.216672+00:00
reports/train_nih_baseline.json,report_json,.json,590,2026-04-27T06:03:57.119539+00:00
reports/train_nih_baseline.md,report_md,.md,910,2026-04-27T06:03:57.119539+00:00
