method,seed,domain,metric,label_index,label_name,mean,std,min,max
labelwise_trust_region,2027,nih,gate,2,consolidation,0.5056905746459961,0.003451536176726222,0.4846816956996918,0.5112693309783936
labelwise_trust_region,2027,nih,gate,3,edema,0.5067411661148071,0.0027250812854617834,0.48359036445617676,0.5119688510894775
labelwise_trust_region,2027,nih,gate,4,pleural_effusion,0.500537633895874,0.009957296773791313,0.46794450283050537,0.5111839175224304
labelwise_trust_region,2027,nih,gate,5,pneumonia,0.5084492564201355,0.0015938770957291126,0.5011235475540161,0.5123151540756226
labelwise_trust_region,2027,nih,gate,6,pneumothorax,0.5050761103630066,0.006061623338609934,0.46780937910079956,0.5111230611801147
labelwise_trust_region,2027,chexpert,gate,0,atelectasis,0.49771642684936523,0.009339720942080021,0.46988216042518616,0.5081177949905396
labelwise_trust_region,2027,chexpert,gate,1,cardiomegaly,0.5033726096153259,0.005269056651741266,0.4761478900909424,0.5094162821769714
labelwise_trust_region,2027,chexpert,gate,2,consolidation,0.5035353302955627,0.004612206481397152,0.4792831838130951,0.5094262361526489
labelwise_trust_region,2027,chexpert,gate,3,edema,0.5070387721061707,0.0013999666552990675,0.5032827854156494,0.5099217295646667
labelwise_trust_region,2027,chexpert,gate,4,pleural_effusion,0.49352508783340454,0.010657024569809437,0.4705525040626526,0.5082501769065857
labelwise_trust_region,2027,chexpert,gate,5,pneumonia,0.5079808235168457,0.0015855118399485946,0.5041187405586243,0.5113645195960999
labelwise_trust_region,2027,chexpert,gate,6,pneumothorax,0.5045005679130554,0.004506460390985012,0.4815569818019867,0.5102550387382507
harder_gate_clipping,31415,nih,gate,0,atelectasis,0.10000001639127731,1.4901161193847656e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,31415,nih,gate,1,cardiomegaly,0.10000001639127731,1.4901161193847656e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,31415,nih,gate,2,consolidation,0.10000001639127731,1.4901161193847656e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,31415,nih,gate,3,edema,0.10000001639127731,1.4901161193847656e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,31415,nih,gate,4,pleural_effusion,0.10000001639127731,1.4901161193847656e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,31415,nih,gate,5,pneumonia,0.10000001639127731,1.4901161193847656e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,31415,nih,gate,6,pneumothorax,0.10000001639127731,1.4901161193847656e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,31415,chexpert,gate,0,atelectasis,0.10000002384185791,2.2351741790771484e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,31415,chexpert,gate,1,cardiomegaly,0.10000002384185791,2.2351741790771484e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,31415,chexpert,gate,2,consolidation,0.10000002384185791,2.2351741790771484e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,31415,chexpert,gate,3,edema,0.10000002384185791,2.2351741790771484e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,31415,chexpert,gate,4,pleural_effusion,0.10000002384185791,2.2351741790771484e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,31415,chexpert,gate,5,pneumonia,0.10000002384185791,2.2351741790771484e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,31415,chexpert,gate,6,pneumothorax,0.10000002384185791,2.2351741790771484e-08,0.10000000149011612,0.10000000149011612
labelwise_trust_region,31415,nih,gate,0,atelectasis,0.5132583975791931,0.008714521303772926,0.5027611255645752,0.5442945957183838
labelwise_trust_region,31415,nih,gate,1,cardiomegaly,0.509880781173706,0.004686922300606966,0.5027112364768982,0.5421409010887146
labelwise_trust_region,31415,nih,gate,2,consolidation,0.5099694728851318,0.004809574689716101,0.5028681755065918,0.5284567475318909
labelwise_trust_region,31415,nih,gate,3,edema,0.508478045463562,0.00542473467066884,0.5001305341720581,0.5283849835395813
labelwise_trust_region,31415,nih,gate,4,pleural_effusion,0.5119924545288086,0.008537975139915943,0.5020461678504944,0.545967698097229
labelwise_trust_region,31415,nih,gate,5,pneumonia,0.5094761848449707,0.0036464950535446405,0.5034249424934387,0.5210855603218079
labelwise_trust_region,31415,nih,gate,6,pneumothorax,0.5095969438552856,0.006074468605220318,0.5016170740127563,0.5419746041297913
labelwise_trust_region,31415,chexpert,gate,0,atelectasis,0.5154656171798706,0.006719366647303104,0.5058211088180542,0.5387632846832275
labelwise_trust_region,31415,chexpert,gate,1,cardiomegaly,0.5117763876914978,0.0038197054527699947,0.5058916807174683,0.5331559181213379
labelwise_trust_region,31415,chexpert,gate,2,consolidation,0.5121857523918152,0.0034296114463359118,0.5060648918151855,0.5284521579742432
labelwise_trust_region,31415,chexpert,gate,3,edema,0.5095487833023071,0.0023577981628477573,0.5038577914237976,0.5156170129776001
labelwise_trust_region,31415,chexpert,gate,4,pleural_effusion,0.5173068642616272,0.008114493452012539,0.5053989291191101,0.5364735722541809
labelwise_trust_region,31415,chexpert,gate,5,pneumonia,0.5112107396125793,0.001943121082149446,0.5063018798828125,0.5180022120475769
labelwise_trust_region,31415,chexpert,gate,6,pneumothorax,0.5121977925300598,0.003805234096944332,0.5056759715080261,0.5287209153175354
